objectid,filename,title,creator,date,description,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,rightsholder,rightsnote,publisher,source,identifier
league-of-women-voters_report_1952,league-of-women-voters_report_1952.pdf,"League of Women Voters of Eugene Report: ""The Negro in Eugene""","League of Women Voters of Eugene; Andrews, Gerrie; Baldinger, Ellen; Belser, Wilma; Donovan, Charlotte; Edwards, Maecel; Hansen, Vera; Janes, Teresa; Nicholson, Gail",1952-01-01,"A report produced by the League of Women Voters of Eugene's newly formed Minorities committee (comprised of white women) which attempts to articulate the most pressing problems facing Eugene's Black residents. The report details the conditions of Black neighborhoods, notes community attitudes toward Black residents, and examines Black residents' ability to access housing, employment, education, and social services.",human rights advocacy; African Americans; anti-Black racism,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,League of Women Voters,"MS 86, Lane County History Museum",league-of-women-voters_report_1952
daily-emerald_epa_1978,daily-emerald_epa_1978.png,"EPA Links Pesticide to Cancer, May Suggest Restrictions Later","Dodge, Steve",1978-10-20,This column discusses how Creosote and Penta are used as a pesticide and to protect wood from rot. Two Eugene telephone pole companies use both of these substances to protect the poles in town. The EPA reviews the benefits and harms of Creosote and Penta to decide whether to ban its use.,creosote; toxicity testing; hazardous wastes,"Eugene, Oregon",,,text,image/png,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,University of Oregon,,Oregon Daily Emerald,Historic Oregon Newspapers via UO Libraries,daily-emerald_epa_1978
daily-emerald_stadium_1968,daily-emerald_stadium_1968.png,Professional Stadium?,"Kalb, Ben",1968-05-02,"An article tracing the history of Bethel Park, its planned demolition, and plans to construct a new stadium for the Eugene Emeralds and Bombers.",building; athletic fields; stadiums; minor league baseball,"Eugene, Oregon",,,text,image/png,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,University of Oregon,,Oregon Daily Emerald,Historic Oregon Newspapers via UO Libraries,daily-emerald_stadium_1968
register-guard_blazed-trails_2000,register-guard_blazed-trails_2000.jpeg,Activist's Political Aspirations Blazed Trails,"Williams, Anne",2000-01-01,"Retrospective newspaper article that details the life and activism of Mattie Reynolds, who in 1966 became the first Black candidate for Eugene city office.",municipal government; cities and towns; newspapers,"Eugene, Oregon",,,text,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,"Reynolds Family Collection, MS 510, Lane County History Museum",register-guard_blazed-trails_2000
register-guard_family-ties_1990,register-guard_family-ties_1990.JPG,Family Ties on The Court,"Clark, Bob",1990-01-01,"This article shows how involved with local basketball the Reynolds family has been for decades and continues to be. Parents Bob and Lois support their children Keith, Becky, Janice, and Deborah as they play basketball for their respective schools. The Reynolds family has been involved in local basketball since the late 1970's when Quentin Reynolds joined Sheldon High School's basketball team. ",Basketball; Basketball teams; Sports; Newspapers; Reynolds family,"Eugene, Oregon",44.0521,-123.0868,text,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,"Reynolds Family Collection, MS 510, Lane County History Museum",register-guard_family-ties_1990
register-guard_forum_1952,register-guard_forum_1952.jpg,Tuesday Forum Big event for Local Negro Families,"Schillios, Harlow",1952-02-19,"Newspaper article focusing on young Lillie Reynolds and her father Sam, two Black residents of Eugene who talk about what is at stake for them in a Lane county forum intended to discuss the ""Negro problem"" in Eugene.",racism; prejudices; newspapers,"Eugene, Oregon",,,text,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,"Reynolds Family Collection, MS 510, Lane County History Museum",register-guard_forum_1952
register-guard_funding-crisis_1990,register-guard_funding-crisis_1990.JPG,Funding Crisis Poses A Threat to Home Care,"Bishop, Bill",1990-01-13,"This article centers around a funding crisis affecting elderly in-home care in Eugene, Oregon. It outlines a story of how economic pressures may be leading to a loss of in-home nursing services for elderly community members. The article highlights the experiences of Annie Mims, age 86, and her nurse, Gladys Krebs, age 68.",Newspapers,"Eugene, Oregon",44.0521,-123.0868,text,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,"Reynolds Family Collection, MS 510, Lane County History Museum",register-guard_funding-crisis_1990
register-guard_haven,register-guard_haven.jpeg,Family's Home Was Haven for Blacks,"Mosley, Joe",,Discusses the Mims family and their backgound moving from Tent City and becoming Eugene's first Black property owners.,Newspapers; African American/Black communities,"Eugene, Oregon",,,text,image/jpeg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,"Reynolds Family Collection, MS 510, Lane County History Museum",register-guard_haven
register-guard_he-is-risen_1977,register-guard_he-is-risen_1977.jpg,He Is Risen,"Wagstaff, Beverly",1977-04-10,"This article contains interviews from pastor James Jackson and other Black Christians who discuss the importance of their faith and of Jesus' universal message in light of the racism they face in their daily lives. Features a picture of Black churchgoer Lyllie Reynolds and an unnamed child singing hymns, and another of Jackson in front of his church.",racism; prejudices; newspapers; African American/Black communities; African American churches; religion; Reynolds family,"Eugene, Oregon",,,text,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,"Reynolds Family Collection, MS 510, Lane County History Museum",register-guard_he-is-risen_1977
register-guard_marking-history_2015,register-guard_marking-history_2015.pdf,Marking history - A memorial would recognize two homes’ role in the city’s past,"Baker, Mark",2015-09-27,"Willie Mims discusses his plan to fundraise to memorialize the homes at 330 & 336 High St. in honor of his parents, C.B. and Annie Mims, who purchased the properties in 1948. The memorial acknowledges the struggle and subsequent communities formed by Black people outside Eugene during a time when they were not allowed to live in city bounds.",local history materials; land use; prejudices; local history materials; African American/Black communities; racism; civil rights movements; memorials; history,"Eugene, Oregon",44.0561,-123.0886,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=stp%3ANewspaper%21Newspaper/pubname%3AERGB%21Register-Guard%252C%2BThe%2B%2528Eugene%252C%2BOR%2529&sort=YMD_date%3AD&maxresults=20&f=advanced&val-base-0=willie%20mims&fld-base-0=alltext&bln-base-1=and&val-base-1=09/27/2015&fld-base-1=YMD_date&docref=news/1583005A26A73F98,register-guard_marking-history_2015
register-guard_mother-to-many_2010,register-guard_mother-to-many_2010.jpeg,A Mother to Many: Mattie Reynolds,"Wright, Jeff",2010-08-30,"A newspaper article announcing the death and honoring the life of Mattie Reynolds (1918-2010). The matriarch of one of Eugene's first African American families, Reynolds was a community activist and one of the first Black residents to seek elective office in Eugene in 1966. She was also the last living founder of the predominantly Black St. Mark's Christian Methodist Episcopal Church. The article outlines some of Reynolds's other important affiliations, as well as her cause of death. Also included is an image of Reynolds in front of the St. Mark's Church.",racial equality; newspaper; African American churches; African American/Black communities; Black women; environmental racism; municipal government; death announcements; Reynolds family,"Eugene, Oregon",,,text,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,http://special.registerguard.com/csp/cms/sites/web/updates/25234433-46/reynolds-mattie-eugene-family-black.csp,register-guard_mother-to-many_2010
register-guard_refinement-plan-approved_1982,register-guard_refinement-plan-approved_1982.JPG,Eugene City Council approves Bethel-Danebo land-use plan,Register-Guard staff,1982-09-14,This article summarizes the unanimously approved land-use plan and explains its relationship to the 1975 city planning document. The article also provides statistics about the relative lack of public parks in Bethel-Danebo compared to other neighborhoods and describes the commercial nodes that will be developed.,land use; city planning; zoning; cities and towns--growth; municipal government,"Eugene, Oregon",,,text,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,Google News via UO Libraries,register-guard_refinement-plan-approved_1982
stmarks_founders-day-celebration_2009,stmarks_founders-day-celebration_2009.jpeg,Founder's Day Celebration,St. Mark's Christian Methodist Episcopal Church,2009-05-31,"A flier for a fiftieth anniversary celebration at St. Mark's Christian Methodist Episcopal Church, celebrating Mattie Reynolds, the last surviving charter member of her church.",African American churches,"Eugene, Oregon",44.0561,-123.0886,text,image/jpg,English,COPYRIGHT UNDETERMINED,http://rightsstatements.org/vocab/UND/1.0/,,Contact Lane County History Museum for usage details.,St. Marks Christian Methodist Episcopal Church,"Reynolds Family Collection, MS 510, Lane County History Museum",stmarks_founders-day-celebration_2009
sunday-oregonian_decent-homes_1952,sunday-oregonian_decent-homes_1952.pdf,Eugene Faces Problem of Decent Homes for Colored Families,"Scott, Hugh",1952-02-10,"Article on displacement of Black communities in Eugene, featuring images of Reynolds family members",land use; prejudices; racism; newspapers,"Eugene, Oregon",,,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,NewsBank,,Sunday Oregonian,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F4D0B17197442A2&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Aimage%252Fv2%253A11A73E5827618330%2540WHNPX-12B8184691A930B4%25402434053-12AEFE552EC3FC63%254023/hlterms%3AEugene%2520Faces%2520Problem%2520of%2520Decent%2520Homes%2520for%2520Colored%2520Families,sunday-oregonian_decent-homes_1952
sunday-oregonian_racial-problem_1952,sunday-oregonian_racial-problem_1952.pdf,Racial Problem Strikes Eugene,"Scott, Hugh",1952-02-10,"Newspaper article detailing the harrowing conditions that Black residents of Eugene have been made to contend with, which the Portland Urban League describe as ""scandalous.""","racism; prejudices; newspapers; zoning, exclusionary","Eugene, Oregon",,,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,NewsBank,,Sunday Oregonian,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&docref=imag e/v2%3A11A73E5827618330%40WHNPX-12B8184691A930B4%402434053-12AEFE5514ACF423%400 ,sunday-oregonian_racial-problem_1952
blm_west-eugene-wetlands_2015,blm_west-eugene-wetlands_2015.pdf,Record of Decision & Resource Management Plan: West Eugene Wetlands,U.S. Department of the Interior Bureau of Land Management,2015-04-01,"Record of federal approval of a Resource Management Plan for West Eugene's wetlands, with specific decisions and guidance for implementation of the RMP. Includes details about protected and endangered species; air, water, and soil quality; herbicide usage; habitat restoration; hazardous materials; recreation; and more.",wetland management; urban ecological design; hazardous wastes; endangered species; land use--planning; restoration monitoring (ecology),"Eugene, Oregon",,,text,application/pdf,English,NO COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Public domain,U.S. Department of the Interior Bureau of Land Management,https://www.blm.gov/or/districts/eugene/plans/files/wew-rod.pdf,blm_west-eugene-wetlands_2015
beckner_thesis_2009,beckner_thesis_2009.pdf,Cultural Demolition: What Was Lost When Eugene Razed Its First Black Neighborhood?,"Beckner, Chrisanne",2009-09-01,"MS Thesis submitted to Interdisciplinary Studies Program in Historic Preservation at University of Oregon. This thesis records the history and demolition of Eugene's first Black neighborhood, and examines the roles of race and class in this history. It then analyzes methods of historic preservation and public commemoration to make recommendations for a commemorative plan. ","African American/Black communities; racism; racial relations; Wrecking; zoning, exclusionary","Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,Chrisanne Beckner,,UO Scholars' Bank,http://hdl.handle.net/1794/9976,beckner_thesis_2009
westside-neighborhood_brief-history_1989,westside-neighborhood_brief-history_1989.jpg,A Brief History of the Westside Neighborhood,"Guzowski, Ken; Westside Neighborhood News",1989-05-01,First two paragraphs of a narrative history of Eugene's residential west side beginning in 1853.,newsletter; neighborhood government,"Eugene, Oregon",,,text,image/jpg,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Westside Neighborhood News,"Neighborhood Association Collection, Lane County History Museum",westside-neighborhood_brief-history_1989
westside-neighborhood_ending-racism_1989,westside-neighborhood_ending-racism_1989.png,Ending Westside Racism,"Card, Douglas; Westside Neighborhood News",1989-06-01,"This is a newsletter report on a recent demonstration in Martin Luther King Park protesting racist and homophobic attacks in Eugene. The article also describes a proposed resolution by the neighborhood association condemning such attacks, expressing sympathy to the survivors, and committing to justice.",prejudices; racism; parks; protest movements; homophobia; newsletter; neighborhood government,"Eugene, Oregon",44.06503,-123.15342,text,image/png,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Westside Neighborhood News,"Neighborhood Association Collection, Lane County History Museum",westside-neighborhood_ending-racism_1989
westside-neighborhood_lincoln-school_1989,westside-neighborhood_lincoln-school_1989.jpg,The Future of Lincoln School,Westside Neighborhood News,1989-01-01,Update on the activities of a citizen advisory committee helping City Council draft a Request for Proposals for development of Lincoln School.,"School operation; zoning; city planning; newsletter; neighborhood government; advertising, public service","Eugene, Oregon",,,text,image/jpg,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Westside Neighborhood News,"Neighborhood Association Collection, Lane County History Museum",westside-neighborhood_lincoln-school_1989
westside-neighborhood_mlk_1989,westside-neighborhood_mlk_1989.png,Dr. Martin Luther King Day Celebration,Westside Neighborhood News,1989-01-01,Highlights several events being put on in honor of the late Dr. King.,"Martin Luther King, Jr., Day; neighborhood government; newsletter; advertising, public service","Eugene, Oregon",44.0521,-123.0868,text,image/png,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Westside Neighborhood News,"Neighborhood Association Collection, Lane County History Museum",westside-neighborhood_mlk_1989
westside-neighborhood_monroe-park_1988,westside-neighborhood_monroe-park_1988.jpg,Monroe Park,"Miller, Gretchen; Westside Neighborhood News",1988-11-01,"Friends of Monroe Park committee recapping major events put on in Monroe Park. Highlights recent activity in the park including Park Watch program, multi-cultural party, and park volunteers.","newsletter; parks; neighborhood government; advertising, public service","Eugene, Oregon",,,text,image/jpg,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Westside Neighborhood News,"Neighborhood Association Collection, Lane County History Museum",westside-neighborhood_monroe-park_1988
westside-neighborhood_policies_1989,westside-neighborhood_policies_1989.png,Policy Statement,Westside Neighborhood News,1989-01-01,A statement of the newsletter's editorial policies,newsletter; neighborhood government,"Eugene, Oregon",,,text,image/png,English,NO KNOWN COPYRIGHT,http://rightsstatements.org/vocab/NoC-US/1.0/,,Use cleared with present-day neighborhood association leadership.,Westside Neighborhood News,"Neighborhood Association Collection, Lane County History Museum",westside-neighborhood_policies_1989
1936_wvp_3837,1936_wvp_3837.jpg,"Aerial photograph from Willamette Valley Project, frame 3837.","War Department, U.S. Army Corps Of Engineers",1936,"3837 [aerial photograph]. 1:15,840. Willamette Valley Project. Portland, OR: U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State, 1936.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State","University of Oregon Libraries, Aerial Photography Research Service",1936_wvp_3837
1936_wvp_3838,1936_wvp_3838.jpg,"Aerial photograph from Willamette Valley Project, frame 3838.","War Department, U.S. Army Corps Of Engineers",1936,"3838 [aerial photograph]. 1:15,840. Willamette Valley Project. Portland, OR: U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State, 1936.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State","University of Oregon Libraries, Aerial Photography Research Service",1936_wvp_3838
1936_wvp_3839,1936_wvp_3839.jpg,"Aerial photograph from Willamette Valley Project, frame 3839.","War Department, U.S. Army Corps Of Engineers",1936,"3839 [aerial photograph]. 1:15,840. Willamette Valley Project. Portland, OR: U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State, 1936.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State","University of Oregon Libraries, Aerial Photography Research Service",1936_wvp_3839
1936_wvp_3877,1936_wvp_3877.jpg,"Aerial photograph from Willamette Valley Project, frame 3877.","War Department, U.S. Army Corps Of Engineers",1936,"3877 [aerial photograph]. 1:15,840. Willamette Valley Project. Portland, OR: U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State, 1936.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State","University of Oregon Libraries, Aerial Photography Research Service",1936_wvp_3877
1936_wvp_3894,1936_wvp_3894.jpg,"Aerial photograph from Willamette Valley Project, frame 3894.","War Department, U.S. Army Corps Of Engineers",1936,"3894 [aerial photograph]. 1:15,840. Willamette Valley Project. Portland, OR: U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State, 1936.",Eugene (Or.) – Aerial Photographs; Willamette River (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Adjustment Administration, Western Division Oregon State","University of Oregon Libraries, Aerial Photography Research Service",1936_wvp_3894
1944_4m_34v-92,1944_4m_34v-92.jpg,"Aerial photograph from 4m726 N.W. River Survey, frame 34V-92.","U.S. Army Corps of Engineers, 16DPU",1944,"34V-92 [aerial photograph]. 1:10,000. 4m726 N.W. River Survey. [Portland, OR]: [U.S. Army Corps of Engineers], 1944.",Eugene (Or.) – Aerial Photographs; Willamette River (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,[U.S. Army Corps of Engineers],"University of Oregon Libraries, Aerial Photography Research Service",1944_4m_34v-92
1944_4m_34v-93,1944_4m_34v-93.jpg,"Aerial photograph from 4m726 N.W. River Survey, frame 34V-93.","U.S. Army Corps of Engineers, 16DPU",1944,"34V-93 [aerial photograph]. 1:10,000. 4m726 N.W. River Survey. [Portland, OR]: [U.S. Army Corps of Engineers], 1944.",Eugene (Or.) – Aerial Photographs; Willamette River (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,[U.S. Army Corps of Engineers],"University of Oregon Libraries, Aerial Photography Research Service",1944_4m_34v-93
1944_4m_35v-36,1944_4m_35v-36.jpg,"Aerial photograph from 4m726 N.W. River Survey, frame 35V-36.","U.S. Army Corps of Engineers, 16DPU",1944,"35V-36 [aerial photograph]. 1:10,000. 4m726 N.W. River Survey. [Portland, OR]: [U.S. Army Corps of Engineers], 1944.",Eugene (Or.) – Aerial Photographs; Willamette River (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,[U.S. Army Corps of Engineers],"University of Oregon Libraries, Aerial Photography Research Service",1944_4m_35v-36
1944_4m_35v-43,1944_4m_35v-43.jpg,"Aerial photograph from 4m726 N.W. River Survey, frame 35V-43.","U.S. Army Corps of Engineers, 16DPU",1944,"35V-43 [aerial photograph]. 1:10,000. 4m726 N.W. River Survey. [Portland, OR]: [U.S. Army Corps of Engineers], 1944.",Eugene (Or.) – Aerial Photographs; Willamette River (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,[U.S. Army Corps of Engineers],"University of Oregon Libraries, Aerial Photography Research Service",1944_4m_35v-43
1944_4m_35v-122,1944_4m_35v-122.jpg,"Aerial photograph from 4m726 N.W. River Survey, frame 35V-122.","U.S. Army Corps of Engineers, 16DPU",1944,"35V-122 [aerial photograph]. 1:10,000. 4m726 N.W. River Survey. [Portland, OR]: [U.S. Army Corps of Engineers], 1944.",Eugene (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,[U.S. Army Corps of Engineers],"University of Oregon Libraries, Aerial Photography Research Service",1944_4m_35v-122
1947_e_2-20,1947_e_2-20.jpg,"Aerial photograph from E[ugene], frame E-2-20.",Leonard Delano,1947,"E-2-20 [aerial photograph]. 1:12,000. E[ugene]. Portland, OR: Leonard Delano, 1947.",Eugene (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,Leonard Delano,"University of Oregon Libraries, Aerial Photography Research Service",1947_e_2-20
1947_e_4-28,1947_e_4-28.jpg,"Aerial photograph from E[ugene], frame E-4-28.",Leonard Delano,1947,"E-4-28 [aerial photograph]. 1:12,000. E[ugene]. Portland, OR: Leonard Delano, 1947.",Eugene (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,Leonard Delano,"University of Oregon Libraries, Aerial Photography Research Service",1947_e_4-28
1947_e_4-29,1947_e_4-29.jpg,"Aerial photograph from E[ugene], frame E-4-29.",Leonard Delano,1947,"E-4-29 [aerial photograph]. 1:12,000. E[ugene]. Portland, OR: Leonard Delano, 1947.",Eugene (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,Leonard Delano,"University of Oregon Libraries, Aerial Photography Research Service",1947_e_4-29
1947_e_4-32,1947_e_4-32.jpg,"Aerial photograph from E[ugene], frame E-4-32.",Leonard Delano,1947,"E-4-32 [aerial photograph]. 1:12,000. E[ugene]. Portland, OR: Leonard Delano, 1947.",Eugene (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,Leonard Delano,"University of Oregon Libraries, Aerial Photography Research Service",1947_e_4-32
1947_e-47_2-22,1947_e-47_2-22.jpg,"Aerial photograph from E[ugene], frame E-2-22.",Leonard Delano,1947,"E-2-22 [aerial photograph]. 1:12,000. E[ugene]. Portland, OR: Leonard Delano, 1947.",Eugene (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,Leonard Delano,"University of Oregon Libraries, Aerial Photography Research Service",1947_e-47_2-22
